Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
1.000000000000000000e+00	-6.754105473112412028e+01	-4.771620844059651745e+01	-4.771620844062202593e+01	-6.754105473151570038e+01	1.107668505142269488e+01	1.797729503489310332e+02	-2.270496510319868766e-01	1.107668505196850184e+01
1.500000000000000000e+00	-6.733312278999660805e+01	-4.771199112906030848e+01	-4.771199112906734285e+01	-6.733312279033174264e+01	1.634963574570391387e+01	1.796592590065821753e+02	-3.407409931947699144e-01	1.634963574815371956e+01
2.000000000000000000e+00	-6.705717267755933619e+01	-4.770608359164616274e+01	-4.770608359166225654e+01	-6.705717267788847380e+01	2.133567191722937295e+01	1.795453674838227869e+02	-4.546325160715877778e-01	2.133567191851084033e+01
2.500000000000000000e+00	-6.672535672454947075e+01	-4.769848252003096434e+01	-4.769848252002955746e+01	-6.672535672474809587e+01	2.598338499012271541e+01	1.794312084524596287e+02	-5.687915476677147808e-01	2.598338498899573068e+01
3.000000000000000000e+00	-6.635008726274990920e+01	-4.768918365063530018e+01	-4.768918365062730658e+01	-6.635008726263700396e+01	3.026628045002359357e+01	1.793167140649656517e+02	-6.832859350671809384e-01	3.026628045025620040e+01
3.500000000000000000e+00	-6.594292744481694513e+01	-4.767818175688367432e+01	-4.767818175685677318e+01	-6.594292744518446625e+01	3.417873772679151045e+01	1.792018158212568153e+02	-7.981841784602821122e-01	3.417873772848604119e+01
4.000000000000000000e+00	-6.551394262268988200e+01	-4.766547063979154331e+01	-4.766547063979012222e+01	-6.551394262237919008e+01	3.773059076839162174e+01	1.790864444336675660e+02	-9.135555660955207991e-01	3.773059076738751116e+01
4.500000000000000000e+00	-6.507144970798644579e+01	-4.765104311715563767e+01	-4.765104311714359397e+01	-6.507144970771692272e+01	4.094179490788059894e+01	1.789705296856813561e+02	-1.029470313995402453e+00	4.094179490774328656e+01
5.000000000000000000e+00	-6.462204175975786313e+01	-4.763489101014273785e+01	-4.763489101015098015e+01	-6.462204175968709308e+01	4.383798419505617971e+01	1.788540002892368648e+02	-1.145999710669921345e+00	4.383798419392311985e+01
5.500000000000000000e+00	-6.417076701061469635e+01	-4.761700512875509617e+01	-4.761700512876853963e+01	-6.417076701057658283e+01	4.644717295826464465e+01	1.787367837376984312e+02	-1.263216262264904355e+00	4.644717295972866111e+01
6.000000000000000000e+00	-6.372137163640282154e+01	-4.759737525490380250e+01	-4.759737525490962184e+01	-6.372137163646466718e+01	4.879752685159001402e+01	1.786188061525571129e+02	-1.381193847589360146e+00	4.879752684976211441e+01
6.500000000000000000e+00	-6.327654955648866064e+01	-4.757599012382691228e+01	-4.757599012380364911e+01	-6.327654955648922908e+01	5.091598981894705389e+01	1.784999921248570161e+02	-1.500007875044877315e+00	5.091598981873875118e+01
7.000000000000000000e+00	-6.283816956288820421e+01	-4.755283740303792683e+01	-4.755283740304704310e+01	-6.283816956290186795e+01	5.282753180643099711e+01	1.783802645519968451e+02	-1.619735448170505965e+00	5.282753180766167134e+01
7.500000000000000000e+00	-6.240746786154707593e+01	-4.752790366980765668e+01	-4.752790366980739378e+01	-6.240746786136796231e+01	5.455481423322240175e+01	1.782595444622367324e+02	-1.740455538012654513e+00	5.455481423339053038e+01
8.000000000000000000e+00	-6.198520425612799301e+01	-4.750117438566946504e+01	-4.750117438565185068e+01	-6.198520425590420757e+01	5.611811883004821055e+01	1.781377508380691097e+02	-1.862249162022515003e+00	5.611811882988899214e+01
8.500000000000000000e+00	-6.157178518134270462e+01	-4.747263386920255357e+01	-4.747263386915971495e+01	-6.157178518154182001e+01	5.753543102913419460e+01	1.780148004247037932e+02	-1.985199575105662584e+00	5.753543103130421343e+01
9.000000000000000000e+00	-6.116735867335545862e+01	-4.744226526593627824e+01	-4.744226526595946325e+01	-6.116735867349724032e+01	5.882260557156806868e+01	1.778906075327107601e+02	-2.109392467184167508e+00	5.882260557118234345e+01
9.500000000000000000e+00	-6.077188662050960488e+01	-4.741005051649521818e+01	-4.741005051647172053e+01	-6.077188662055850443e+01	5.999356846677022048e+01	1.777650838270836005e+02	-2.234916172695293302e+00	5.999356846744630900e+01
1.000000000000000000e+01	-6.038519914184149684e+01	-4.737597032097374949e+01	-4.737597032096022787e+01	-6.038519914195114779e+01	6.106052772255850414e+01	1.776381381055497570e+02	-2.361861894684246455e+00	6.106052772337802992e+01
1.050000000000000000e+01	-6.000703515778540265e+01	-4.734000410154514071e+01	-4.734000410152781058e+01	-6.000703515763463258e+01	6.203417705966394635e+01	1.775096760632793291e+02	-2.490323936883128031e+00	6.203417705953313543e+01
1.100000000000000000e+01	-5.963707243797504987e+01	-4.730212996167410466e+01	-4.730212996167129091e+01	-5.963707243793483315e+01	6.292388451968123064e+01	1.773796000439080558e+02	-2.620399956287252863e+00	6.292388452055576664e+01
1.150000000000000000e+01	-5.927494969467013419e+01	-4.726232464223108565e+01	-4.726232464224619179e+01	-5.927494969468347108e+01	6.373786241241680983e+01	1.772478087731532526e+02	-2.752191226854427963e+00	6.373786241205995395e+01
1.200000000000000000e+01	-5.892028270222093056e+01	-4.722056347452437564e+01	-4.722056347451847103e+01	-5.892028270217652164e+01	6.448331780374304856e+01	1.771141970769403997e+02	-2.885802922980448049e+00	6.448331780340338071e+01
1.250000000000000000e+01	-5.857267594710141623e+01	-4.717682032952373561e+01	-4.717682032951810811e+01	-5.857267594704917713e+01	6.516658423509535680e+01	1.769786555776901480e+02	-3.021344422395507934e+00	6.516658423466216732e+01
1.300000000000000000e+01	-5.823173095040307601e+01	-4.713106756410103060e+01	-4.713106756405625219e+01	-5.823173095047771142e+01	6.579323613967308404e+01	1.768410703709704137e+02	-3.158929628948281998e+00	6.579323613838967333e+01
1.350000000000000000e+01	-5.789705211571398280e+01	-4.708327596246419233e+01	-4.708327596247869451e+01	-5.789705211566096921e+01	6.636818772812169698e+01	1.767013226809202706e+02	-3.298677319159335486e+00	6.636818772878791606e+01
1.400000000000000000e+01	-5.756825074304912704e+01	-4.703341467431452827e+01	-4.703341467433389056e+01	-5.756825074302163614e+01	6.689577820108706874e+01	1.765592884851708675e+02	-3.440711515040104640e+00	6.689577820095900051e+01
1.450000000000000000e+01	-5.724494769056104104e+01	-4.698145114810859724e+01	-4.698145114809878464e+01	-5.724494769061038113e+01	6.737984502251117647e+01	1.764148381173068287e+02	-3.585161882689916979e+00	6.737984502175244472e+01
