Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
1.000000000000000000e+00	-5.244206739172095411e+01	-7.683936854645467918e+01	-4.732777811488257669e+01	-5.251019917310257767e+01	-6.803935383470652631e+00	-2.014105909730174726e-01	-5.465632661328574216e+01	-1.791263382696155588e+02
1.500000000000000000e+00	-5.239480366379545018e+01	-7.670612504400035903e+01	-4.902419776277941565e+01	-5.244872874935329321e+01	-1.179106239507899723e+01	-9.031325726694605649e-02	-7.388604138660808474e+01	-1.787545201739948482e+02
2.000000000000000000e+00	-5.248221397315639791e+01	-7.644831173888395881e+01	-5.061814687231029097e+01	-5.235361841883047163e+01	-1.686034394566446437e+01	-1.247193688997257910e-01	-8.905526419244353065e+01	-1.783060416098763028e+02
2.500000000000000000e+00	-5.266659237522311088e+01	-7.607839198880192555e+01	-5.202624028710297210e+01	-5.220666940452151294e+01	-2.171744440692606304e+01	-8.283732157166868726e-01	-1.015143351032775598e+02	-1.778917078023689839e+02
3.000000000000000000e+00	-5.291888429312888320e+01	-7.565929549485849748e+01	-5.325093423999600617e+01	-5.200807573579805876e+01	-2.627927582188316435e+01	-2.511679264753336138e+00	-1.121031986915704550e+02	-1.776734116121078273e+02
3.500000000000000000e+00	-5.321991708495522744e+01	-7.525988469820708815e+01	-5.431535649752021300e+01	-5.177202788438916059e+01	-3.053005958751382209e+01	-5.167140784792720432e+00	-1.213443343243984316e+02	-1.777705979322704763e+02
4.000000000000000000e+00	-5.355679642628867754e+01	-7.492739432769313623e+01	-5.524793122230336451e+01	-5.151769758082853201e+01	-3.447604725184896779e+01	-8.593699422982943759e+00	-1.295453883126973835e+02	-1.782306148822179637e+02
4.500000000000000000e+00	-5.392012654763877322e+01	-7.468422749040487929e+01	-5.607168138077834385e+01	-5.126251851046781383e+01	-3.812994277591004533e+01	-1.254041427775738349e+01	-1.369128055637745831e+02	-1.790407633306668345e+02
5.000000000000000000e+00	-5.430278721400962638e+01	-7.453521944596191418e+01	-5.680746695042712702e+01	-5.101920311886252790e+01	-4.150799153662961061e+01	-1.678452643944443068e+01	-1.435777485878815867e+02	1.798463327858877960e+02
5.500000000000000000e+00	-5.469912300793326665e+01	-7.447551449911838972e+01	-5.746988777543344185e+01	-5.079553454044131655e+01	-4.462756845364251035e+01	-2.115559969046098132e+01	-1.496405894553965368e+02	1.784906378628494679e+02
